Date,Open,High,Low,Close,Adj Close,Volume
1/2/23,130.279999,130.899994,124.169998,129.619995,129.243622,369948500
1/9/23,130.470001,134.919998,128.119995,134.759995,134.368698,333335200
1/16/23,134.830002,138.610001,133.770004,137.869995,137.469666,271823400
1/23/23,138.119995,147.229996,137.899994,145.929993,145.506256,338655600
1/30/23,144.960007,157.380005,141.320007,154.5,154.051376,480249700
2/6/23,152.570007,155.229996,149.220001,151.009995,150.571503,330758800
2/13/23,150.949997,156.330002,150.850006,152.550003,152.339294,316792400
2/20/23,150.199997,151.300003,145.720001,146.710007,146.507355,213742300
2/27/23,147.710007,151.110001,143.899994,151.029999,150.821381,273994900
3/6/23,153.789993,156.300003,147.610001,148.5,148.294876,313350800
3/13/23,147.809998,156.740005,147.699997,155,154.785904,410426600
3/20/23,155.070007,162.139999,154.149994,160.25,160.028656,350100100
3/27/23,159.940002,165,155.979996,164.899994,164.672226,267939700
4/3/23,164.270004,166.839996,161.800003,164.660004,164.432556,200156300
4/10/23,161.419998,166.320007,159.779999,165.210007,164.981812,263326300
4/17/23,165.089996,168.160004,164.029999,165.020004,164.792068,249953100
4/24/23,165,169.850006,162.800003,169.679993,169.445618,256274000
5/1/23,169.279999,174.300003,164.309998,173.570007,173.330261,360586400
5/8/23,172.479996,174.589996,171,172.570007,172.331635,250026700
5/15/23,173.160004,176.389999,170.419998,175.160004,175.160004,258597700
5/22/23,173.979996,175.770004,170.520004,175.429993,175.429993,250355000
