category,model,make,year,count
1 - Category 1 Truck,Acura,RDX 2WD,2010,15
1 - Category 1 Truck,Acura,RDX 4WD,2007,1
1 - Category 1 Truck,Acura,RDX 4WD,2008,2
1 - Category 1 Truck,Acura,RDX 4WD,2009,136
1 - Category 1 Truck,Acura,RDX 4WD,2010,30
1 - Category 1 Truck,Acura,TSX,2009,14
1 - Category 1 Truck,Acura,TSX,2010,14
1 - Category 1 Truck,Audi,A3,2009,2
1 - Category 1 Truck,Audi,A3 Quattro,2009,1
1 - Category 1 Truck,Audi,A4,2009,3
1 - Category 1 Truck,Audi,A4,2010,1
1 - Category 1 Truck,Audi,A4 Cabriolet,2009,2
1 - Category 1 Truck,Audi,A4 Quattro,2009,2
1 - Category 1 Truck,Audi,A4 Quattro,2010,1
1 - Category 1 Truck,Audi,A5 Quattro,2010,1
1 - Category 1 Truck,Audi,Q5,2009,46
1 - Category 1 Truck,Audi,Q5,2010,191
1 - Category 1 Truck,Audi,UNLISTED,2010,1
1 - Category 1 Truck,BMW,128i,2009,2
1 - Category 1 Truck,BMW,328ci xDrive,2009,1
1 - Category 1 Truck,BMW,328cxi,2007,1
1 - Category 1 Truck,BMW,328cxi,2008,1
1 - Category 1 Truck,BMW,328i,2009,6
1 - Category 1 Truck,BMW,328i xDrive,2009,1
1 - Category 1 Truck,BMW,335d,2009,2
1 - Category 1 Truck,BMW,X3 3.0i,2007,1
1 - Category 1 Truck,BMW,X3 3.0si,2008,5
1 - Category 1 Truck,BMW,X3 xDrive 30i,2009,126
1 - Category 1 Truck,BMW,Z4 3.0i,2008,1
1 - Category 1 Truck,Buick,Enclave AWD,2008,3
1 - Category 1 Truck,Buick,Enclave AWD,2009,256
1 - Category 1 Truck,Buick,Enclave AWD,2010,81
1 - Category 1 Truck,Buick,Enclave FWD,2008,11
1 - Category 1 Truck,Buick,Enclave FWD,2009,512
1 - Category 1 Truck,Buick,Enclave FWD,2010,255
1 - Category 1 Truck,Cadillac,SRX 2WD,2009,32
1 - Category 1 Truck,Cadillac,SRX 2WD,2010,9
1 - Category 1 Truck,Cadillac,SRX AWD,2010,2
1 - Category 1 Truck,Chevrolet,Aveo,2009,61
1 - Category 1 Truck,Chevrolet,Aveo 5,2007,1
1 - Category 1 Truck,Chevrolet,Aveo 5,2008,1
1 - Category 1 Truck,Chevrolet,Aveo 5,2009,109
1 - Category 1 Truck,Chevrolet,Aveo 5,2010,1
1 - Category 1 Truck,Chevrolet,Camaro,2010,5
1 - Category 1 Truck,Chevrolet,Cobalt,2007,1
1 - Category 1 Truck,Chevrolet,Cobalt,2008,1
1 - Category 1 Truck,Chevrolet,Cobalt,2009,195
1 - Category 1 Truck,Chevrolet,Cobalt Sedan,2010,2
1 - Category 1 Truck,Chevrolet,Cobalt XFE,2008,1
1 - Category 1 Truck,Chevrolet,Cobalt XFE,2009,33
1 - Category 1 Truck,Chevrolet,Cobalt XFE Coupe,2010,1
1 - Category 1 Truck,Chevrolet,Colorado 2WD,2007,4
1 - Category 1 Truck,Chevrolet,Colorado 2WD,2008,42
1 - Category 1 Truck,Chevrolet,Colorado 2WD,2009,3206
1 - Category 1 Truck,Chevrolet,Colorado 2WD,2010,4
1 - Category 1 Truck,Chevrolet,Colorado 4WD,2008,26
1 - Category 1 Truck,Chevrolet,Colorado 4WD,2009,660
1 - Category 1 Truck,Chevrolet,Colorado 4WD,2010,6
1 - Category 1 Truck,Chevrolet,Colorado Cab Chassis inc 4WD,2009,44
1 - Category 1 Truck,Chevrolet,Colorado Crew Cab 2WD,2007,1
1 - Category 1 Truck,Chevrolet,Colorado Crew Cab 2WD,2008,4
1 - Category 1 Truck,Chevrolet,Colorado Crew Cab 2WD,2009,580
1 - Category 1 Truck,Chevrolet,Colorado Crew Cab 4WD,2008,1
1 - Category 1 Truck,Chevrolet,Colorado Crew Cab 4WD,2009,465
1 - Category 1 Truck,Chevrolet,Colorado Crew Cab 4WD,2010,2
1 - Category 1 Truck,Chevrolet,Equinox AWD,2008,12
1 - Category 1 Truck,Chevrolet,Equinox AWD,2009,1137
1 - Category 1 Truck,Chevrolet,Equinox AWD,2010,2576
1 - Category 1 Truck,Chevrolet,Equinox FWD,2007,5
1 - Category 1 Truck,Chevrolet,Equinox FWD,2008,7
1 - Category 1 Truck,Chevrolet,Equinox FWD,2009,1701
1 - Category 1 Truck,Chevrolet,Equinox FWD,2010,4367
1 - Category 1 Truck,Chevrolet,Express 1500 2WD Cargo,2010,1
1 - Category 1 Truck,Chevrolet,HHR FWD,2007,6
1 - Category 1 Truck,Chevrolet,HHR FWD,2008,104
1 - Category 1 Truck,Chevrolet,HHR FWD,2009,7578
1 - Category 1 Truck,Chevrolet,HHR FWD,2010,119
1 - Category 1 Truck,Chevrolet,HHR Panel FWD,2008,17
1 - Category 1 Truck,Chevrolet,HHR Panel FWD,2009,578
1 - Category 1 Truck,Chevrolet,HHR Panel FWD,2010,7
1 - Category 1 Truck,Chevrolet,Impala,2008,1
