index,Pos,Grp,Team,Pld,W,D,L,GF,GA,GD,Pts,Final result
0,1,F,United States,7,7,0,0,26,3,23,21,Champions
1,2,E,Netherlands,7,6,0,1,11,5,6,18,Runners-up
2,3,F,Sweden,7,5,0,2,12,6,6,15,Third place
3,4,D,England,7,5,0,2,13,5,8,15,Fourth place
5,5,B,Germany,5,4,0,1,10,2,8,12,Eliminated in quarter-finals
6,6,A,France (H),5,4,0,1,10,4,6,12,Eliminated in quarter-finals
7,7,C,Italy,5,3,0,2,9,4,5,9,Eliminated in quarter-finals
8,8,A,Norway,5,2,1,2,7,7,0,7,Eliminated in quarter-finals
10,9,C,Australia,4,2,1,1,9,6,3,7,Eliminated in round of 16
11,10,C,Brazil,4,2,0,2,7,5,2,6,Eliminated in round of 16
12,11,E,Canada,4,2,0,2,4,3,1,6,Eliminated in round of 16
13,12,B,Spain,4,1,1,2,4,4,0,4,Eliminated in round of 16
14,13,D,Japan,4,1,1,2,3,5,-2,4,Eliminated in round of 16
15,14,B,China,4,1,1,2,1,3,-2,4,Eliminated in round of 16
16,15,E,Cameroon,4,1,0,3,3,8,-5,3,Eliminated in round of 16
17,16,A,Nigeria,4,1,0,3,2,7,-5,3,Eliminated in round of 16
19,17,F,Chile,3,1,0,2,2,5,-3,3,Eliminated in group stage
20,18,D,Argentina,3,0,2,1,3,4,-1,2,Eliminated in group stage
21,19,D,Scotland,3,0,1,2,5,7,-2,1,Eliminated in group stage
22,20,E,New Zealand,3,0,0,3,1,5,-4,0,Eliminated in group stage
23,21,A,South Korea,3,0,0,3,1,8,-7,0,Eliminated in group stage
24,22,B,South Africa,3,0,0,3,1,8,-7,0,Eliminated in group stage
25,23,C,Jamaica,3,0,0,3,1,12,-11,0,Eliminated in group stage
26,24,F,Thailand,3,0,0,3,1,20,-19,0,Eliminated in group stage
