id,url,name,type,language,genres,status,runtime,averageRuntime,premiered,ended,officialSite,weight,network,dvdCountry,summary,updated,schedule.time,schedule.days,rating.average,webChannel.id,webChannel.name,webChannel.country,webChannel.officialSite,externals.tvrage,externals.thetvdb,externals.imdb,image.medium,image.original,_links.self.href,_links.previousepisode.href,webChannel,network.id,network.name,network.country.name,network.country.code,network.country.timezone,network.officialSite,_links.nextepisode.href
12036,https://www.tvmaze.com/shows/12036/altered-carbon,Altered Carbon,Scripted,English,"['Drama', 'Crime', 'Science-Fiction']",Ended,,52,2018-02-02,2020-03-19,https://www.netflix.com/title/80097140,97,,,"<p><b>Altered Carbon</b> is set in the 25th century when the human mind has been digitized and the soul itself is transferable from one body to the next. Takeshi Kovacs, a former elite interstellar warrior known as an Envoy who has been imprisoned for 250 years, is downloaded into a future he'd tried to stop. If he can solve a single murder in a world where technology has made death nearly obsolete, he'll get a chance at a new life on Earth.</p>",1681748816,,[],8.0,1.0,Netflix,,https://www.netflix.com/,,332331,tt2261227,https://static.tvmaze.com/uploads/images/medium_portrait/240/602152.jpg,https://static.tvmaze.com/uploads/images/original_untouched/240/602152.jpg,https://api.tvmaze.com/shows/12036,https://api.tvmaze.com/episodes/2154820,,,,,,,,
67,https://www.tvmaze.com/shows/67/greys-anatomy,Grey's Anatomy,Scripted,English,"['Drama', 'Romance', 'Medical']",Running,60.0,60,2005-03-27,,https://abc.com/shows/greys-anatomy/,100,,,"<p>The doctors of Grey Sloan Memorial Hospital deal with life-or-death consequences on a daily basis -- it's in one another that they find comfort, friendship and, at times, more than friendship. Together they're discovering that neither medicine nor relationships can be defined in black and white. Real life only comes in shades of grey.</p>",1700212794,21:00,['Thursday'],7.7,,,,,3741.0,73762,tt0413573,https://static.tvmaze.com/uploads/images/medium_portrait/424/1061065.jpg,https://static.tvmaze.com/uploads/images/original_untouched/424/1061065.jpg,https://api.tvmaze.com/shows/67,https://api.tvmaze.com/episodes/2511128,,3.0,ABC,United States,US,America/New_York,https://abc.com/,https://api.tvmaze.com/episodes/2689395
17128,https://www.tvmaze.com/shows/17128/this-is-us,This Is Us,Scripted,English,"['Drama', 'Comedy', 'Romance']",Ended,60.0,60,2016-09-20,2022-05-24,http://www.nbc.com/this-is-us,97,,,"<p>Sometimes life will surprise you. This refreshingly honest and provocative series follows a unique ensemble whose paths cross and their life stories intertwine in curious ways. We find several of them share the same birthday, and so much more than anyone would expect. From the writer and directors of ""Crazy, Stupid, Love"" comes a smart, modern dramedy that will challenge your everyday presumptions about the people you think you know.</p>",1694474470,21:00,['Tuesday'],7.9,,,,,,311714,tt5555260,https://static.tvmaze.com/uploads/images/medium_portrait/401/1003345.jpg,https://static.tvmaze.com/uploads/images/original_untouched/401/1003345.jpg,https://api.tvmaze.com/shows/17128,https://api.tvmaze.com/episodes/2296682,,1.0,NBC,United States,US,America/New_York,https://www.nbc.com/,
2993,https://www.tvmaze.com/shows/2993/stranger-things,Stranger Things,Scripted,English,"['Drama', 'Horror', 'Science-Fiction']",Running,,62,2016-07-15,,https://www.netflix.com/title/80057281,100,,,"<p>A love letter to the '80s classics that captivated a generation, <b>Stranger Things</b> is set in 1983 Indiana, where a young boy vanishes into thin air. As friends, family and local police search for answers, they are drawn into an extraordinary mystery involving top-secret government experiments, terrifying supernatural forces and one very strange little girl.</p>",1698513329,,['Friday'],8.5,1.0,Netflix,,https://www.netflix.com/,48493.0,305288,tt4574334,https://static.tvmaze.com/uploads/images/medium_portrait/481/1202792.jpg,https://static.tvmaze.com/uploads/images/original_untouched/481/1202792.jpg,https://api.tvmaze.com/shows/2993,https://api.tvmaze.com/episodes/2209857,,,,,,,,
49299,https://www.tvmaze.com/shows/49299/family-law,Family Law,Scripted,English,"['Drama', 'Family', 'Legal']",Running,60.0,60,2021-09-17,,http://www.globaltv.com/family-law,99,,,"<p>Set in Vancouver, Canada, <b>Family Law</b> follows lawyer and recovering alcoholic Abigail ‘Abby' Bianchi struggling to put her career and family back together after hitting rock bottom. As a condition of her probation, Abby is forced to work at her estranged father's firm, Svensson and Associates, and practice in family law for the first time while forging new relationships with the half-brother and half-sister whom she's never met. The result is a dysfunctional family law firm operating to help other families with their own dysfunctions.</p>",1701285444,20:00,['Monday'],5.9,,,,,,385075,tt11873484,https://static.tvmaze.com/uploads/images/medium_portrait/485/1214492.jpg,https://static.tvmaze.com/uploads/images/original_untouched/485/1214492.jpg,https://api.tvmaze.com/shows/49299,https://api.tvmaze.com/episodes/2373607,,67.0,Global,Canada,CA,America/Halifax,,https://api.tvmaze.com/episodes/2494042
28717,https://www.tvmaze.com/shows/28717/good-omens,Good Omens,Scripted,English,"['Comedy', 'Action', 'Fantasy']",To Be Determined,,52,2019-05-31,,https://www.amazon.com/dp/B07FMHTRFF,99,,,"<p>According to <i>The Nice and Accurate Prophecies of Agnes Nutter, Witch</i> (the world's only completely accurate book of prophecies), the world will end on a Saturday. Next Saturday, in fact. Just before dinner.</p><p>So the armies of Good and Evil are amassing, Atlantis is rising, tempers are flaring. Everything appears to be going according to Divine Plan. Except Aziraphale, a somewhat fussy angel, and Crowley, a fast-living demon--both of whom have lived among Earth's mortals since The Beginning and have grown rather fond of the lifestyle--are not actually looking forward to the coming war.</p><p>And someone seems to have misplaced the Antichrist...</p>",1699766952,,[],7.9,3.0,Prime Video,,https://www.primevideo.com,,359569,tt1869454,https://static.tvmaze.com/uploads/images/medium_portrait/486/1215656.jpg,https://static.tvmaze.com/uploads/images/original_untouched/486/1215656.jpg,https://api.tvmaze.com/shows/28717,https://api.tvmaze.com/episodes/2545197,,,,,,,,
29,https://www.tvmaze.com/shows/29/vikings,Vikings,Scripted,English,"['Drama', 'Action', 'History']",Ended,60.0,60,2013-03-03,2021-03-05,https://www.history.ca/shows/vikings/,98,,,"<p><b>Vikings</b> transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.</p>",1675826458,21:00,['Friday'],8.6,,,,,31136.0,260449,tt2306299,https://static.tvmaze.com/uploads/images/medium_portrait/286/715906.jpg,https://static.tvmaze.com/uploads/images/original_untouched/286/715906.jpg,https://api.tvmaze.com/shows/29,https://api.tvmaze.com/episodes/1993646,,118.0,History,Canada,CA,America/Halifax,https://www.history.ca/,
150,https://www.tvmaze.com/shows/150/shameless,Shameless,Scripted,English,"['Drama', 'Comedy', 'Family']",Ended,60.0,60,2011-01-09,2021-04-11,http://www.sho.com/sho/shameless/home,99,,,"<p><b>Shameless</b> is a fiercely engaging and fearlessly twisted series. Chicagoan Frank Gallagher is the proud single dad of six smart, industrious, independent kids, who without him would be... perhaps better off. When Frank's not at the bar spending what little money they have, he's passed out on the floor. But the kids have found ways to grow up in spite of him. They may not be like any family you know, but they make no apologies for being exactly who they are.</p>",1699767221,21:00,['Sunday'],8.5,,,,,25117.0,161511,tt1586680,https://static.tvmaze.com/uploads/images/medium_portrait/486/1215661.jpg,https://static.tvmaze.com/uploads/images/original_untouched/486/1215661.jpg,https://api.tvmaze.com/shows/150,https://api.tvmaze.com/episodes/2042851,,9.0,Showtime,United States,US,America/New_York,https://www.sho.com/,
4,https://www.tvmaze.com/shows/4/arrow,Arrow,Scripted,English,"['Drama', 'Action', 'Science-Fiction']",Ended,60.0,60,2012-10-10,2020-01-28,http://www.cwtv.com/shows/arrow,99,,,"<p>After a violent shipwreck, billionaire playboy Oliver Queen was missing and presumed dead for five years before being discovered alive on a remote island in the Pacific. He returned home to Starling City, welcomed by his devoted mother Moira, beloved sister Thea and former flame Laurel Lance. With the aid of his trusted chauffeur/bodyguard John Diggle, the computer-hacking skills of Felicity Smoak and the occasional, reluctant assistance of former police detective, now beat cop, Quentin Lance, Oliver has been waging a one-man war on crime.</p>",1684785626,21:00,['Tuesday'],7.4,,,,,30715.0,257655,tt2193021,https://static.tvmaze.com/uploads/images/medium_portrait/143/358967.jpg,https://static.tvmaze.com/uploads/images/original_untouched/143/358967.jpg,https://api.tvmaze.com/shows/4,https://api.tvmaze.com/episodes/1744752,,5.0,The CW,United States,US,America/New_York,https://www.cwtv.com/,
3570,https://www.tvmaze.com/shows/3570/dirk-gently,Dirk Gently,Scripted,English,"['Drama', 'Comedy', 'Crime']",Ended,55.0,55,2012-03-05,2012-03-19,http://www.bbc.co.uk/programmes/b01d8jmz,70,,,"<p>Drama series featuring writer Douglas Adams's holistic detective Dirk Gently, who operates based on the fundamental interconnectedness of all things.</p>",1624161014,21:00,['Monday'],7.4,,,,,27204.0,213081,tt2303367,https://static.tvmaze.com/uploads/images/medium_portrait/18/46777.jpg,https://static.tvmaze.com/uploads/images/original_untouched/18/46777.jpg,https://api.tvmaze.com/shows/3570,https://api.tvmaze.com/episodes/233137,,51.0,BBC Four,United Kingdom,GB,Europe/London,https://www.bbc.co.uk/bbcfour,
