year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage
2017,440000,45000,1,1,1,1,20.14
2016,400000,40000,1,1,1,1,18.15
2016,778000,70000,2,1,1,2,24.52
2016,680000,100000,2,1,1,1,22.54
2017,950000,50000,2,1,1,1,25.5
2015,525000,40000,2,1,1,1,26.59
2018,500000,35000,1,1,1,1,20.3
2016,575000,45000,1,1,1,1,21.4
2017,275000,28000,1,1,1,1,24.7
2018,254999,25000,1,1,1,1,16.8
2017,670000,70000,2,1,1,1,24.3
2018,730000,2388,1,1,1,1,18.6
2017,650000,16200,2,1,1,1,24.3
2019,366000,15000,1,1,1,1,23.95
2019,1149000,5000,1,1,1,1,17.0
2016,150000,42000,1,1,1,1,20.63
2019,2100000,5000,1,1,2,1,16.0
2018,925000,28900,1,2,1,1,17.8
2018,675000,23300,1,2,2,1,18.5
2018,819999,32600,2,2,1,1,24.3
2018,390000,10300,1,2,1,1,23.95
2015,425000,49800,2,2,1,1,24.7
2015,600000,54700,2,2,1,1,26.0
2018,850000,64000,1,2,1,1,20.65
2015,525000,63000,2,2,1,1,27.3
2016,1650000,127700,2,2,2,2,11.36
2016,950000,99000,2,2,1,1,12.99
2018,1590000,25000,1,2,2,1,14.28
2015,630000,147000,2,1,1,2,26.59
2017,600000,25000,1,1,1,3,18.16
2019,650000,30000,1,1,1,1,21.4
2016,540000,40000,2,1,1,1,22.0
2015,630000,135000,2,1,1,1,25.1
2018,448000,30000,1,1,2,1,20.51
2017,500000,80000,2,1,1,1,21.66
2016,745000,70000,2,1,1,1,24.3
2019,1025000,9850,2,1,2,1,24.3
2016,630000,70000,2,1,1,1,25.2
2015,1700000,78000,2,1,1,2,12.55
2016,1200000,140000,2,1,1,1,12.99
2015,610000,90000,2,1,1,1,22.77
2016,2500000,30000,1,1,2,2,15.71
2017,484999,10000,1,2,1,1,23.1
2016,275000,49000,1,2,1,1,19.02
2016,315000,32000,1,2,1,1,24.7
2016,275000,38000,1,2,1,1,24.7
2017,280000,32000,1,2,1,1,14.0
2015,455000,42000,1,2,1,1,16.47
2015,351000,45000,1,2,1,2,19.81
