Ticker,Company_Name,MeanOpen,MeanHigh,MeanLow,MeanClose,MeanVolume,MeanPercentReturn,Sector
AA,Alcoa ,16.51583333,16.95,16.03916667,16.54916667,142021801.6,0.1814665,Industrials
AXP,American Express,44.6025,45.68333333,43.61583333,44.82166667,38490817.92,0.401822083,Financials
BA,Boeing,70.76833333,72.375,69.235,71.25833333,26141443.33,0.589635667,Industrials
BAC,Bank of America,14.3025,14.66,13.8675,14.27,828392983.4,0.070158917,Financials
CAT,Caterpillar,99.52166667,101.9333333,97.07333333,100.3641667,30933516.17,0.439549,Industrials
CSCO,Cisco Systems,19.6825,20.0025,19.055,19.40333333,347651700,0.311336417,Information Technology
CVX,Chevron,97.06,99.4425,95.805,98.23416667,41257885.75,0.739526667,Energy
DD,DuPont,51.98166667,53.115,50.81,52.435,32221933.17,0.78338375,Industrials
DIS,Disney ,40.9975,42.13,40.3375,41.55333333,50966177.17,0.964419,Communication
GE,General Electric,20.02416667,20.4575,19.54916667,20.08916667,301809476.5,0.698296167,Industrials
HD,Home Depot,36.67583333,37.4575,35.93333333,36.75833333,46876557,0.680608833,Consumer Discretionary
HPQ,Hewlett-Packard,44.8475,46.16833333,43.75333333,44.97416667,95522815.92,0.1983555,Information Technology
IBM,IBM,157.7683333,161.3575,155.65,159.1616667,26189041.08,0.444914417,Information Technology
INTC,Intel,21.22083333,21.57333333,20.7175,21.1825,277900865.2,0.850544167,Information Technology
JNJ,Johnson & Johnson,60.94,61.5075,60.10166667,60.70083333,54182410.25,0.9068265,Health Care
JPM,JP Morgan Chase,45.24916667,46.36166667,44.305,45.59,159350011.9,0.548682917,Financials
KO,Coca-Cola,63.63666667,64.66916667,62.72833333,63.66333333,42355548.67,0.73845875,Consumer Staples
KRFT,Kraft,31.18666667,31.59416667,30.6775,31.20083333,45564120.5,0.92958775,Consumer Staples
MCD,McDonald's,75.0575,76.12,73.7325,74.87333333,40268351.75,0.814903083,Consumer Discretionary
MMM,3M,89.6675,91.27916667,88.18333333,89.95083333,16727280.17,0.611783083,Industrials
MRK,Merk,33.6125,34.07666667,32.8375,33.31833333,90233551,1.142273333,Health Care
MSFT,Microsoft,27.1225,27.60916667,26.645,26.94583333,288362899.3,0.594911583,Information Technology
PFE,Pfizer,18.84333333,19.31333333,18.5975,19.08583333,253239530.5,1.049310083,Health Care
PG,Proctor & Gamble,63.66416667,64.24166667,62.545,63.385,51979729.83,0.8239595,Consumer Staples
T,AT&T,28.38583333,28.73583333,27.75916667,28.28416667,136822432.9,1.520575,Communication
TRV,Travelers,57.27583333,58.45333333,56.42916667,57.56583333,19356036.92,0.647656833,Financials
UTX,United Technologies,81.65916667,82.8775,80.35,81.97583333,17899332.67,0.555104167,Communication
VZ,Verizon,35.99583333,36.61,35.25,36.02666667,94409382.83,1.360441667,Communication
WMT,Wal-Mart,54.005,54.9375,53.30416667,54.05833333,62596862.67,0.685219167,Consumer Staples
XOM,ExxonMobil,80.92333333,82.77833333,79.53166667,81.58416667,102033144.3,0.552127917,Energy
