label,text_message
spam,Would your little ones like a call from Santa Xmas eve? Text Y to 9058094583 to book your time.
ham,You didnt complete your gist oh.
ham,"Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can"
spam,For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk
ham,"If you can make it any time tonight or whenever you can it's cool, just text me whenever you're around"
ham,If I was I wasn't paying attention
ham,Thanx a lot 4 ur help!
ham,You're gonna have to be way more specific than that
ham,Jesus armand really is trying to tell everybody he can find
ham,I'm wif him now buying tix lar...
spam,You have won a guaranteed 32000 award or maybe even £1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???
ham,Am slow in using biola's fne
ham,What are youdoing later? Sar xxx
ham,Hey i've booked the 2 lessons on sun liao...
ham,Thank you. do you generally date the brothas?
ham,"Maybe westshore or hyde park village, the place near my house?"
ham,"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!"
spam,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records."
ham,Mode men or have you left.
ham,Good morning. At the repair shop--the ONLY reason i'm up at this hour.
ham,"And that's fine, I got enough bud to last most of the night at least"
ham,I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?
ham,So that takes away some money worries
ham,"aight we can pick some up, you open before tonight?"
spam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+"
